Name,Set,Market $,Prices,Qty,TCG ID,Location,Date
Alolan Marowak GX SM187 SMP,SM187 - SM Promos,$19.40,"NM $22.04 (last sold 18.74, 19.25, 65.00)",1,185987,,2026-05-12
Charizard ex 056 SVP,Scarlet & Violet Promo Cards,$14.63,"NM $14.65 (last sold 13.00, 13.19, 14.04)",1,521697,,2026-05-12
Pikachu V 157/172 FA BRS,Brilliant Stars,$31.03,"NM $30.63 (last sold 25.00, 25.00, 33.00)",1,263876,,2026-05-12
Morgan 178/181 FA SM9,SM - Team Up,$37.24,"NM $49.43 (last sold 44.99, 47.69, 48.17)",1,183948,,2026-05-12
Venusaur & Snivy GX 1/236 UR SM12,SM - Cosmic Eclipse,$19.27,"NM $22.14 (last sold 22.00, 22.99, 20.99)",1,200350,,2026-05-12
Armarouge 203/198 IR SVI,Scarlet & Violet Base Set,$15.87,"NM $15.96 (last sold 15.00, 14.99, 14.25)",1,490063,,2026-05-12
Rocket's Zapdos 15/132 Classic Collection CCC,Classic Collection,$3.74,"NM $4.33 (last sold 4.27, 4.92, 5.30)",1,250324,,2026-05-12
Meloetta 026 MEP,Mega Evolution Promo,$12.53,"NM $12.60 (last sold 18.50, 9.98, 12.70)",1,659231,,2026-05-12
Shadow Rider Calyrex V - SWSH10: Astral Radiance Trainer Gallery (SWSH10:TG) TG17/TG30,,$8.88,"NM $9.31 (last sold 8.16, 7.47, 7.97)",1,272488,,2026-05-12
Kingambit 220/198 IR SVI,Scarlet & Violet Base Set,$9.53,"NM $9.51 (last sold 9.29, 9.60, 10.28)",1,490078,,2026-05-12
Oricorio ex 024 MEP,Mega Evolution Promo,$13.39,"NM $14.95 (last sold 14.98, 13.99, 13.99)",1,664010,,2026-05-12
Mega Charizard X ex 023 MEP,Mega Evolution Promo,$49.82,"NM $49.98 (last sold 50.00, 46.78, 45.57)",1,659612,,2026-05-12
Kingdra (Alpha) 108/160 Holo Rare PRC,XY - Primal Clash,$2.25,"NM $9.67 (last sold 9.99, 9.83, 10.61)",1,96006,,2026-05-12
Spheal 199/191 IR SSP,Surging Sparks,$9.85,"NM $9.89 (last sold 10.98, 10.00, 9.99)",1,590063,,2026-05-12
Gastly 080/071 Art Rare SV5K,Wild Force,$36.03,,1,568414,,2026-05-12
Jolteon VMAX 051/203 UR EVS,Evolving Skies,$12.88,"NM $13.44 (last sold 10.75, 12.11, 12.00)",1,246760,,2026-05-12
Pawniard 142/086 IR BLK,Black Bolt,$6.29,"NM $6.47 (last sold 6.00, 5.50, 5.77)",1,642596,,2026-05-12
Reshiram (114 Full Art Secret Rare) 114 SR LTR,Legendary Treasures,$69.50,"NM $289.99 (last sold 349.99, 229.99) · LP $225.92 (last sold 257.69, 215.00, 215.00) · MP $132.19 (last sold 132.19) · HP $91.51 (last sold 92.50, 90.52) · eBay $179.40 (last sold 88.99, 253.00, 275.00)",1,88711,,2026-05-12
Pidgeotto 208/197 IR OBF,Obsidian Flames,$11.11,"NM $11.38 (last sold 11.10, 11.51, 11.49)",1,509956,,2026-05-12
Omanyte - 180/165 - SV2a: Pokemon Card 151 (SV2a) 180/165 Art Rare,,$2.78,,2,566525,,2026-05-12
Inteleon SV027/SV122 SHFSV,Shiny Vault,$4.23,"NM $4.40 (last sold 4.99, 4.99, 4.99)",1,232378,,2026-05-12
Baxcalibur 130/091 Shiny PAF,Paldean Fates,$4.64,"NM $4.37 (last sold 4.41, 4.80, 4.99)",1,534521,,2026-05-12
